course_id,course_rating,enrollment_status,completion_status,user_id
what-is-datascience,4.1,1,0,1407
sql-data-science,3.8,1,1,997
gcp-big-data-ml-fundamentals,4.0,1,1,1012
learning-how-to-learn,4.1,0,0,1817
excel-data-analysis,4.9,1,1,46
international-law-in-action-2,4.3,1,0,511
uva-darden-design-thinking-social-sector,4.8,1,1,773
race-cultural-diversity-american-life,4.6,1,1,277
computer-networking,4.1,1,0,1115
drug-commercialization,3.8,0,0,253
magic-middle-ages,4.8,0,0,395
uva-darden-getting-started-agile,4.3,0,0,878
uva-darden-getting-started-agile,4.2,1,0,1809
matlab,4.2,1,0,1043
vlsi-cad-logic,4.5,1,0,1631
what-is-datascience,3.3,1,0,1729
uva-darden-digital-product-management,4.9,0,0,1673
gcp-infrastructure-core-services,4.4,0,0,396
geopolitics-europe,3.6,1,0,1670
teamwork-skills-effective-communication,3.6,0,0,505
edinburgh-music-theory,3.7,1,0,1443
philosophy,4.1,1,1,1625
gcp-fundamentals,4.4,0,0,1174
multivariate-calculus-machine-learning,4.3,0,0,785
law-student,4.4,0,0,331
global-environmental-management,3.3,1,0,1595
troubleshooting-debugging-techniques,4.0,0,0,1818
intro-programming,4.4,1,1,464
python-for-data-visualization,4.8,0,0,1477
gis,4.4,0,0,1482
model-thinking,4.7,1,1,251
songwriting-lyrics,4.6,0,0,32
geopolitics-europe,4.8,1,1,1213
covid-19-what-you-need-to-know,4.0,0,0,68
machine-learning-with-python,4.1,1,1,1729
what-is-datascience,3.9,1,0,1340
initiating-planning,3.5,0,0,473
neuroscience-neuroimaging,4.8,0,0,482
machine-learning-duke,4.6,0,0,1277
cloud-infrastructure-design-process,4.7,1,0,746
gis,4.5,0,0,940
cybersecurity-roles-processes-operating-system-security,4.9,0,0,1471
horse-care,4.7,1,0,389
transmedia-storytelling,3.2,0,0,11
intro-economic-theories,3.8,1,0,1496
covid-19-contact-tracing-for-nursing-professionals,5.0,0,0,1557
building-modern-python-applications-on-aws,3.2,1,1,1152
learn-chinese,4.2,1,0,1901
python-basics,3.9,0,0,1211
data-science-course,3.6,0,0,154
golang-getting-started,3.3,0,0,1209
building-modern-python-applications-on-aws,3.2,0,0,1606
everyday-parenting,4.4,0,0,563
python-for-data-visualization,4.9,0,0,1699
probabilistic-models-in-nlp,4.4,0,0,191
uva-darden-digital-product-management,4.2,0,0,1098
gis,3.1,0,0,1302
countering-terror-violent-extremism,3.9,1,1,917
financial-markets-global,4.6,0,0,910
deep-neural-network,3.7,1,1,1134
gcp-infrastructure-scaling-automation,4.4,0,0,1503
datasciencemathskills,4.2,0,0,384
bcg-uva-darden-digital-transformation,4.6,1,1,580
money-banking,4.1,1,1,928
getting-started-with-google-sheets,4.7,1,1,399
gcp-fundamentals,3.9,0,0,1401
intro-chemistry,3.9,1,1,1238
global-financial-crisis,3.7,0,0,1587
python-programming-introduction,4.2,0,0,398
python-programming-introduction,4.3,0,0,89
plantknows,4.7,0,0,787
moral-politics,3.7,0,0,1973
clinical-trials,3.5,0,0,146
uva-darden-agile-testing,3.5,1,1,1212
uva-darden-agile-team-management,4.0,0,0,577
beyond-the-sustainable-development-goals-addressing-sustainability-and-development,4.9,1,0,792
introduction-to-cloud,4.7,0,0,1094
python-for-applied-data-science-ai,3.3,0,0,885
japanese-1,4.3,0,0,1781
build-a-computer,4.0,0,0,186
uva-darden-foundations-business-strategy,4.2,1,1,932
global-diplomacy-un,4.4,1,1,506
ibm-penetration-testing-incident-response-forensics,3.9,0,0,1134
clinicalsimulations,3.5,0,0,1591
python-crash-course,4.2,0,0,1969
gcp-infrastructure-foundation,3.8,1,0,545
convolutional-neural-networks,4.7,0,0,1017
gcp-infrastructure-scaling-automation,4.1,1,0,558
learn-to-program,3.6,1,1,1232
globalenergyandclimatepolicy,4.0,0,0,912
engineering-health-yoga-physiology,4.3,0,0,583
company-future-management,3.5,1,1,583
cs-fundamentals-2,4.6,1,1,1326
learn-korean,4.3,1,0,889
ux-design-fundamentals,4.9,0,0,1301
money-banking,3.6,0,0,804
gcp-fundamentals,4.3,1,1,1925
google-machine-learning,3.7,0,0,1342
analytics-tableau,4.1,0,0,1358
role-of-advertising,4.2,0,0,453
system-administration-it-infrastructure-services,4.2,0,0,428
elearning,4.7,1,0,460
technical-support-fundamentals,3.1,1,0,923
global-environmental-management,4.7,1,0,1086
nlp-sequence-models,3.3,0,0,23
analytics-business-metrics,4.0,1,1,1852
managing-human-resources,5.0,1,1,189
troubleshooting-debugging-techniques,4.3,0,0,1469
creative-problem-solving,3.2,0,0,962
seo-fundamentals,4.4,0,0,1720
datasciencemathskills,4.4,1,1,365
sleep,4.2,1,0,1259
erasmus-econometrics,4.2,0,0,1748
sql-data-science,3.2,1,1,1851
learn-korean,3.2,0,0,1478
gcp-fundamentals,3.8,1,0,1252
law-student,3.0,1,0,1526
writing-editing-words,4.1,0,0,1748
object-oriented-java,4.8,0,0,600
introduction-to-ai,3.2,0,0,1019
